user_id,item_id,recommend
76561197970982479,1250,True
76561197970982479,22200,True
76561197970982479,43110,True
js41637,251610,True
js41637,227300,True
js41637,239030,True
evcentric,248820,True
evcentric,370360,True
evcentric,237930,True
evcentric,263360,True
evcentric,107200,True
evcentric,224500,True
doctr,250320,True
doctr,20920,True
doctr,204100,True
doctr,224600,True
doctr,207610,True
doctr,108710,True
maplemage,211420,True
maplemage,211820,True
maplemage,730,True
maplemage,204300,True
Wackky,249130,True
Wackky,207610,True
Wackky,550,True
Wackky,65800,True
Wackky,220,True
76561198079601835,730,True
MeaTCompany,730,True
76561198089393905,72850,True
76561198089393905,440,True
76561198156664158,252950,True
76561198077246154,440,True
76561198077246154,304930,True
WeiEDKrSat,4000,True
thequeenpanda,42910,True
death-hunter,232090,True
death-hunter,1250,True
death-hunter,4000,True
DJKamBer,304930,True
DJKamBer,570,True
DJKamBer,218620,True
DJKamBer,224260,True
DJKamBer,1250,True
DJKamBer,440,True
Rainbow-Dashie,730,True
Rainbow-Dashie,440,True
Rainbow-Dashie,49520,True
76561198043472122,33440,False
MarbleShrine,220200,True
PPanther,211820,True
devvonst,440,True
devvonst,218740,True
devvonst,550,True
Fr0stedLine,220,True
starkillershadow553,238090,True
starkillershadow553,242130,True
starkillershadow553,277430,True
76561198058373434,8870,True
76561198048353577,368230,True
76561198048353577,4000,True
76561198048353577,33930,True
76561198066046412,359320,False
76561198066046412,219640,True
tru_mu_,287980,True
76561198070565427,218620,True
76561198070565427,208090,True
76561198070565427,242700,True
76561198070565427,570,False
76561198070565427,224260,True
SavageEeEe,221100,True
76561198076909484,570,True
KanadeTheNeko,331470,True
KanadeTheNeko,4000,True
Leaf_Light_Moscow,323370,True
GoAwayZach,304930,True
76561198054540475,12210,True
76561198054540475,265210,True
76561198054540475,48700,True
76561198085547365,238460,True
76561198085547365,34900,True
76561198061252210,730,True
OfficialShroomsy,113200,True
boydeer,440,True
boydeer,383080,False
VVillis,213670,True
76561198083226897,105600,True
76561198075277292,730,True
76561198075277292,570,True
76561198028895010,231180,True
76561198028895010,620,True
76561198170198366,271290,True
diego9031,4000,True
diego9031,317360,True
diego9031,223710,True
diego9031,299360,True
diego9031,322330,True
diego9031,1250,True
diego9031,12100,True
diego9031,204360,True
diego9031,440,True
diego9031,224260,True
jarrodtrim,440,True
76561198078738103,304930,True
76561198067936203,440,True
76561198079770573,1840,True
76561198087586464,440,True
Derp-e,440,True
76561198070194565,233250,True
76561198070194565,449140,True
76561198070194565,368730,True
76561198070194565,246280,True
76561198070194565,427270,True
76561198070194565,397100,True
76561198070194565,248570,True
Rivtex,298630,True
UTNerd24,244210,True
UTNerd24,440,True
UTNerd24,376920,True
UTNerd24,257750,True
UTNerd24,221910,True
UTNerd24,2280,True
sandwiches1,417860,False
76561198138053270,218620,True
lucaswerg,218620,True
lucaswerg,222880,True
Life-Of-Blu,377160,True
Life-Of-Blu,211820,True
CaptianAutismo,252490,True
76561198075895633,440,True
TheDropix101,242920,True
kube134,251990,True
iamthekingofbrowntown,344760,False
iamthekingofbrowntown,252950,True
iamthekingofbrowntown,236430,True
iamthekingofbrowntown,399730,True
MainScout,550,True
yookobz,377160,True
yookobz,219150,True
Posiblydead,277430,True
Posiblydead,239820,True
Posiblydead,17410,True
Mossy_Gaming,440,True
76561198102421718,270550,True
76561198102421718,274940,True
76561198102421718,333930,True
76561198087407319,440,True
76561198056741844,730,True
sad-commie,294100,True
sad-commie,212070,True
sad-commie,264140,True
76561198030567998,332800,True
76561198030567998,319630,True
76561198030567998,6020,True
76561198030567998,55230,True
76561198030567998,32430,True
76561198010674657,377160,False
