user_id,item_id,recommend,playtime_forever,playtime_2weeks,rating
76561197970982479,1250,True,10006,0,4.5
76561197970982479,22200,True,271,0,3.5
76561197970982479,43110,True,834,0,4.0
js41637,227300,True,551,0,5.0
js41637,239030,True,349,0,2.5
evcentric,248820,True,2328,0,2.0
evcentric,237930,True,508,0,2.5
evcentric,107200,True,3225,0,4.0
doctr,250320,True,778,0,4.0
doctr,20920,True,2981,0,2.0
doctr,204100,True,5297,0,0.5
doctr,207610,True,1972,0,1.5
doctr,108710,True,1185,0,5.0
maplemage,211420,True,12347,0,4.5
maplemage,211820,True,3436,0,1.0
maplemage,730,True,13955,0,3.0
maplemage,204300,True,17589,0,2.0
MeaTCompany,730,True,18481,507,2.0
76561198089393905,72850,True,37776,16,0.5
76561198156664158,252950,True,16470,1317,4.0
76561198156664158,252950,True,16470,1317,3.5
76561198156664158,252950,True,16470,1317,3.5
76561198156664158,252950,True,16470,1317,2.5
76561198077246154,304930,True,25150,30,1.5
WeiEDKrSat,4000,True,16441,0,1.0
thequeenpanda,42910,True,1219,0,2.5
death-hunter,232090,True,3789,196,1.0
death-hunter,4000,True,243840,0,5.0
DJKamBer,304930,True,770,0,2.0
DJKamBer,218620,True,25804,208,2.5
DJKamBer,224260,True,7366,0,2.5
DJKamBer,1250,True,2851,0,4.0
Rainbow-Dashie,730,True,21385,4,4.0
MarbleShrine,220200,True,8592,0,3.0
PPanther,211820,True,11721,0,4.0
devvonst,218740,True,29,0,0.5
devvonst,550,True,7022,0,4.5
Fr0stedLine,220,True,272,0,1.5
76561198058373434,8870,True,962,0,4.0
76561198048353577,4000,True,84234,293,0.5
76561198048353577,33930,True,6684,0,5.0
76561198066046412,359320,False,635,0,2.0
76561198066046412,219640,True,47800,0,2.5
76561198070565427,218620,True,9813,0,4.5
76561198070565427,208090,True,944,0,4.5
76561198070565427,224260,True,3061,0,2.5
SavageEeEe,221100,True,54642,1385,3.5
KanadeTheNeko,4000,True,44455,0,2.5
Leaf_Light_Moscow,323370,True,390,0,2.0
GoAwayZach,304930,True,8496,0,4.5
76561198054540475,12210,True,6784,0,3.0
76561198054540475,265210,True,150,0,1.5
76561198054540475,48700,True,8044,37,3.5
76561198085547365,238460,True,667,0,3.0
76561198085547365,34900,True,30,0,0.5
76561198061252210,730,True,41281,439,3.5
OfficialShroomsy,113200,True,1319,0,5.0
boydeer,383080,False,121,0,1.0
VVillis,213670,True,132,0,3.5
76561198083226897,105600,True,12932,1740,1.5
76561198075277292,730,True,43739,891,0.5
76561198028895010,620,True,1903,0,1.0
76561198170198366,271290,True,416,0,3.5
diego9031,4000,True,21928,288,5.0
diego9031,317360,True,143,0,1.0
diego9031,223710,True,30,0,2.0
diego9031,299360,True,577,0,0.5
diego9031,1250,True,1204,51,2.0
diego9031,12100,True,603,0,3.0
diego9031,204360,True,665,0,3.0
diego9031,224260,True,1116,0,1.0
76561198078738103,304930,True,2154,0,5.0
76561198070194565,233250,True,3474,0,0.5
76561198070194565,368730,True,33,0,1.0
76561198070194565,246280,True,827,0,3.5
76561198070194565,427270,True,379,0,0.5
76561198070194565,248570,True,1039,0,5.0
Rivtex,298630,True,5145,0,3.0
Rivtex,298630,True,5145,0,1.5
Rivtex,298630,True,5145,0,1.0
Rivtex,298630,True,5145,0,4.5
UTNerd24,257750,True,43,0,2.0
UTNerd24,221910,True,164,0,0.5
UTNerd24,2280,True,27,0,0.5
sandwiches1,417860,False,55,0,5.0
Life-Of-Blu,377160,True,4509,0,3.0
Life-Of-Blu,211820,True,8729,0,4.0
CaptianAutismo,252490,True,26620,4583,2.0
TheDropix101,242920,True,1075,0,4.0
iamthekingofbrowntown,344760,False,917,0,0.5
iamthekingofbrowntown,252950,True,5512,108,3.0
iamthekingofbrowntown,236430,True,2649,0,2.0
MainScout,550,True,22568,50,5.0
yookobz,377160,True,3899,0,1.5
yookobz,219150,True,353,0,2.0
Posiblydead,277430,True,335,0,4.0
Posiblydead,239820,True,483,0,0.5
Posiblydead,17410,True,1146,0,3.5
76561198102421718,270550,True,117,0,1.0
76561198102421718,274940,True,1156,0,1.5
76561198102421718,333930,True,1454,0,1.0
76561198056741844,730,True,37986,1420,1.5
sad-commie,212070,True,324,0,1.5
sad-commie,264140,True,1272,0,0.5
76561198030567998,332800,True,22,0,3.0
76561198030567998,319630,True,2092,0,2.5
76561198030567998,6020,True,1884,0,4.0
76561198030567998,55230,True,12749,0,4.0
76561198030567998,32430,True,2748,0,3.5
Coldaniel,35450,True,7635,0,1.0
Coldaniel,236390,True,20531,114,1.0
therealmorty,351570,True,1,0,4.0
therealmorty,212680,True,365,0,1.0
Berserklejerker,391540,True,1643,0,0.5
76561198061730629,550,True,6287,0,4.5
possessioniskey,72850,True,5648,0,2.0
76561198060447950,200510,True,2190,0,3.0
whiteofwolfing,730,True,94334,1352,3.5
sergarino,383080,True,39080,0,2.0
76561198081962345,200210,True,30338,5,3.5
76561198073210139,304050,True,153,0,5.0
Nozomikat,264200,True,151,0,4.0
Nozomikat,417860,True,42,0,3.5
Nozomikat,213670,True,2764,0,3.5
Nozomikat,91310,True,3979,0,0.5
Nozomikat,437220,False,4859,2656,4.5
Nozomikat,210770,True,227,0,3.5
xfluttersx,351640,True,388,0,5.0
xfluttersx,105600,True,2982,0,4.5
xfluttersx,47870,True,639,0,1.5
xfluttersx,383080,True,203,0,2.0
76561198056290589,730,True,55168,1838,1.5
ii_voltage_ii,253710,False,15,0,1.0
ii_voltage_ii,339280,True,1024,0,3.0
ii_voltage_ii,271290,True,455,0,4.5
ii_voltage_ii,203290,True,1202,0,1.0
Hirukaz,550,True,4397,0,1.5
StelerForYou,730,True,172753,2588,2.5
StelerForYou,211820,True,6071,881,3.0
Xx-Woods,224260,True,1253,0,1.5
Xx-Woods,295550,True,971,0,2.5
Xx-Woods,250180,True,326,0,0.5
Xx-Woods,227940,True,795,0,1.5
kevinator23,8850,True,1702,0,4.0
kevinator23,233720,True,419,0,5.0
kevinator23,218620,True,21461,140,2.0
kevinator23,730,True,21527,1444,1.0
kevinator23,219740,True,1290,0,2.5
kevinator23,220240,True,3678,0,2.5
76561198090715178,4000,True,9098,0,1.0
76561198090715178,304930,True,2503,0,5.0
76561198073784601,221100,True,45855,159,2.0
mimimomoma,730,True,119850,1444,1.0
de_Butl3r,209870,True,15802,0,2.0
76561198027947401,322170,True,1292,26,4.5
76561198027947401,304050,True,3377,1,5.0
Bluezap1,730,True,48969,1231,1.5
Bluezap1,362890,True,589,0,2.5
76561198074200011,730,True,68487,2699,0.5
jonasdbomb,346110,True,6718,0,2.0
Lord_Exploit,322170,True,45,0,3.0
AVATAR715,48240,False,41,0,0.5
AVATAR715,248570,True,246,0,2.0
AVATAR715,264140,True,259,0,4.5
AVATAR715,4000,True,84437,7,5.0
AVATAR715,266430,True,100,0,3.5
AVATAR715,316010,True,22,0,1.5
YieuwMage,730,True,24823,882,2.5
A-Very-Sly-Person,304930,True,76632,0,1.0
76561197994493402,365590,True,22494,7,2.5
76561197994493402,264200,True,584,0,3.0
76561198065656175,383080,True,1146,1,2.0
97396295,301520,True,1057,0,2.0
97396295,243870,True,2107,0,3.5
97396295,218230,False,10078,0,5.0
97396295,291550,False,3282,216,3.5
76561198126640317,251570,True,2971,0,4.5
76561198126640317,221100,True,8584,0,3.5
76561198126640317,316010,True,211,0,1.5
76561198126640317,218230,True,460,0,0.5
76561198126640317,333930,True,2175,0,3.5
76561198126640317,222880,True,384,0,2.5
76561198126640317,730,True,91215,3478,5.0
DemonicWolvz,55230,True,2892,90,0.5
DemonicWolvz,232090,True,3075,0,2.5
DemonicWolvz,4000,True,3990,0,5.0
DemonicWolvz,206420,True,5805,1,1.5
DemonicWolvz,224260,True,991,0,3.0
DemonicWolvz,550,True,4932,1,3.0
DieMadchenschanderin,346110,True,229,0,1.5
DieMadchenschanderin,346110,True,229,0,1.5
DieMadchenschanderin,346110,True,229,0,2.5
DieMadchenschanderin,346110,True,229,0,2.0
GGargula,233250,True,344,0,4.0
Myther43,273350,True,553,0,2.5
getf0kinn0sc0pedm9,730,True,61193,2213,2.5
76561198141443390,730,True,148507,1125,3.0
whodafuqisthisguilao,730,True,56450,246,1.0
Magjiikal,313740,True,645,0,2.5
ohnospaghet,369200,True,55,0,0.5
ohnospaghet,252490,False,2203,0,5.0
ohnospaghet,264200,True,180,0,5.0
76561198050347115,292030,True,11327,0,1.5
2768820078,287700,True,72,0,2.0
2768820078,730,False,31988,0,3.5
2768820078,377160,True,25220,0,5.0
2768820078,221380,True,6528,0,2.0
2768820078,271590,True,11894,0,0.5
2768820078,298110,True,3367,0,3.5
76561198056392326,219640,False,151,0,5.0
76561198056392326,269210,False,194,0,0.5
2d4nk4m3,317470,False,28,0,2.0
2d4nk4m3,47410,True,7440,0,5.0
76561198078478151,730,True,925,0,3.0
76561198095921854,245620,True,1231,0,4.0
EizanAratoFujimaki,70,True,1395,102,1.0
TeCool,202090,True,19624,0,4.5
TeCool,339280,True,1125,0,0.5
2xDelorean,212680,True,1112,0,3.0
2xDelorean,200210,True,1983,0,0.5
washington_,4000,True,16363,0,1.5
washington_,211820,True,1186,0,2.0
washington_,10180,True,199,0,3.0
washington_,252490,True,14071,203,1.5
washington_,417860,True,18,0,5.0
76561198088944293,359550,True,2001,0,0.5
76561198088944293,107410,True,42735,1473,3.0
76561198088944293,218230,False,486,0,0.5
76561198088944293,304930,True,4146,0,3.0
76561198051258119,730,True,22534,0,1.5
Pyromanic,31280,True,200,0,3.0
Pyromanic,4000,True,276,0,3.5
Pyromanic,240,True,94,0,0.5
CobRazor,252490,True,3621,223,3.5
relesprit,8930,True,7250,0,4.0
relesprit,8930,True,7250,0,4.5
relesprit,8930,True,7250,0,3.5
relesprit,8930,True,7250,0,4.5
WitchHunter4542,304930,True,10177,180,1.5
WitchHunter4542,237310,True,4906,0,3.0
WitchHunter4542,224260,True,1771,0,4.5
pwrt,230410,True,142589,600,0.5
76561198115868847,219640,False,2003,0,1.0
76561198031207016,8930,True,25902,0,1.0
76561198043458582,105600,True,16204,0,3.5
76561198043458582,221100,True,2716,0,4.0
76561198043458582,107410,True,29825,1054,4.5
76561198043458582,231430,True,2890,0,3.5
smashiroshh,218620,True,17269,0,0.5
