user_id,item_id,recommend,steam_id,playtime_forever,playtime_2weeks,id
76561197970982479,1250,True,76561197970982479,10006,0,0
76561197970982479,22200,True,76561197970982479,271,0,0
76561197970982479,43110,True,76561197970982479,834,0,0
js41637,227300,True,76561198035864385,551,0,1
js41637,239030,True,76561198035864385,349,0,1
evcentric,248820,True,76561198007712555,2328,0,2
evcentric,237930,True,76561198007712555,508,0,2
evcentric,107200,True,76561198007712555,3225,0,2
doctr,250320,True,76561198002099482,778,0,3
doctr,20920,True,76561198002099482,2981,0,3
doctr,204100,True,76561198002099482,5297,0,3
doctr,207610,True,76561198002099482,1972,0,3
doctr,108710,True,76561198002099482,1185,0,3
maplemage,211420,True,76561198026584251,12347,0,4
maplemage,211820,True,76561198026584251,3436,0,4
maplemage,730,True,76561198026584251,13955,0,4
maplemage,204300,True,76561198026584251,17589,0,4
MeaTCompany,730,True,76561198071532177,18481,507,5
76561198089393905,72850,True,76561198089393905,37776,16,6
76561198156664158,252950,True,76561198156664158,16470,1317,7
76561198156664158,252950,True,76561198156664158,16470,1317,7
76561198156664158,252950,True,76561198156664158,16470,1317,7
76561198156664158,252950,True,76561198156664158,16470,1317,7
76561198077246154,304930,True,76561198077246154,25150,30,8
WeiEDKrSat,4000,True,76561198041660154,16441,0,9
thequeenpanda,42910,True,76561198010803705,1219,0,10
death-hunter,232090,True,76561198018556265,3789,196,11
death-hunter,4000,True,76561198018556265,243840,0,11
DJKamBer,304930,True,76561198026039330,770,0,12
DJKamBer,218620,True,76561198026039330,25804,208,12
DJKamBer,224260,True,76561198026039330,7366,0,12
DJKamBer,1250,True,76561198026039330,2851,0,12
Rainbow-Dashie,730,True,76561198087659130,21385,4,13
MarbleShrine,220200,True,76561198062570934,8592,0,14
PPanther,211820,True,76561198026157558,11721,0,15
devvonst,218740,True,76561198062380099,29,0,16
devvonst,550,True,76561198062380099,7022,0,16
Fr0stedLine,220,True,76561198037965617,272,0,17
76561198058373434,8870,True,76561198058373434,962,0,18
76561198048353577,4000,True,76561198048353577,84234,293,19
76561198048353577,33930,True,76561198048353577,6684,0,19
76561198066046412,359320,False,76561198066046412,635,0,20
76561198066046412,219640,True,76561198066046412,47800,0,20
76561198070565427,218620,True,76561198070565427,9813,0,21
76561198070565427,208090,True,76561198070565427,944,0,21
76561198070565427,224260,True,76561198070565427,3061,0,21
SavageEeEe,221100,True,76561198078235843,54642,1385,22
KanadeTheNeko,4000,True,76561198129159264,44455,0,23
Leaf_Light_Moscow,323370,True,76561198305694024,390,0,24
GoAwayZach,304930,True,76561198086431390,8496,0,25
76561198054540475,12210,True,76561198054540475,6784,0,26
76561198054540475,265210,True,76561198054540475,150,0,26
76561198054540475,48700,True,76561198054540475,8044,37,26
76561198085547365,238460,True,76561198085547365,667,0,27
76561198085547365,34900,True,76561198085547365,30,0,27
76561198061252210,730,True,76561198061252210,41281,439,28
OfficialShroomsy,113200,True,76561198059361962,1319,0,29
boydeer,383080,False,76561198106550365,121,0,30
VVillis,213670,True,76561198092825399,132,0,31
76561198083226897,105600,True,76561198083226897,12932,1740,32
76561198075277292,730,True,76561198075277292,43739,891,33
76561198028895010,620,True,76561198028895010,1903,0,34
76561198170198366,271290,True,76561198170198366,416,0,35
diego9031,4000,True,76561198082027703,21928,288,36
diego9031,317360,True,76561198082027703,143,0,36
diego9031,223710,True,76561198082027703,30,0,36
diego9031,299360,True,76561198082027703,577,0,36
diego9031,1250,True,76561198082027703,1204,51,36
diego9031,12100,True,76561198082027703,603,0,36
diego9031,204360,True,76561198082027703,665,0,36
diego9031,224260,True,76561198082027703,1116,0,36
76561198078738103,304930,True,76561198078738103,2154,0,37
76561198070194565,233250,True,76561198070194565,3474,0,38
76561198070194565,368730,True,76561198070194565,33,0,38
76561198070194565,246280,True,76561198070194565,827,0,38
76561198070194565,427270,True,76561198070194565,379,0,38
76561198070194565,248570,True,76561198070194565,1039,0,38
Rivtex,298630,True,76561198104187800,5145,0,39
Rivtex,298630,True,76561198104187800,5145,0,39
Rivtex,298630,True,76561198104187800,5145,0,39
Rivtex,298630,True,76561198104187800,5145,0,39
UTNerd24,257750,True,76561198053985682,43,0,40
UTNerd24,221910,True,76561198053985682,164,0,40
UTNerd24,2280,True,76561198053985682,27,0,40
sandwiches1,417860,False,76561198052850911,55,0,41
Life-Of-Blu,377160,True,76561198065991640,4509,0,42
Life-Of-Blu,211820,True,76561198065991640,8729,0,42
CaptianAutismo,252490,True,76561198100886422,26620,4583,43
TheDropix101,242920,True,76561198066482493,1075,0,44
iamthekingofbrowntown,344760,False,76561198101807736,917,0,45
iamthekingofbrowntown,252950,True,76561198101807736,5512,108,45
iamthekingofbrowntown,236430,True,76561198101807736,2649,0,45
MainScout,550,True,76561198092334812,22568,50,46
yookobz,377160,True,76561198043608819,3899,0,47
yookobz,219150,True,76561198043608819,353,0,47
Posiblydead,277430,True,76561198055519677,335,0,48
Posiblydead,239820,True,76561198055519677,483,0,48
Posiblydead,17410,True,76561198055519677,1146,0,48
76561198102421718,270550,True,76561198102421718,117,0,49
76561198102421718,274940,True,76561198102421718,1156,0,49
76561198102421718,333930,True,76561198102421718,1454,0,49
76561198056741844,730,True,76561198056741844,37986,1420,50
sad-commie,212070,True,76561198040301510,324,0,51
sad-commie,264140,True,76561198040301510,1272,0,51
76561198030567998,332800,True,76561198030567998,22,0,52
76561198030567998,319630,True,76561198030567998,2092,0,52
76561198030567998,6020,True,76561198030567998,1884,0,52
76561198030567998,55230,True,76561198030567998,12749,0,52
76561198030567998,32430,True,76561198030567998,2748,0,52
Coldaniel,35450,True,76561198126946946,7635,0,53
Coldaniel,236390,True,76561198126946946,20531,114,53
therealmorty,351570,True,76561198082552101,1,0,54
therealmorty,212680,True,76561198082552101,365,0,54
Berserklejerker,391540,True,76561198026747561,1643,0,55
76561198061730629,550,True,76561198061730629,6287,0,56
possessioniskey,72850,True,76561198073017892,5648,0,57
76561198060447950,200510,True,76561198060447950,2190,0,58
whiteofwolfing,730,True,76561198136952974,94334,1352,59
sergarino,383080,True,76561198084507508,39080,0,60
76561198081962345,200210,True,76561198081962345,30338,5,61
76561198073210139,304050,True,76561198073210139,153,0,62
Nozomikat,264200,True,76561198076738682,151,0,63
Nozomikat,417860,True,76561198076738682,42,0,63
Nozomikat,213670,True,76561198076738682,2764,0,63
Nozomikat,91310,True,76561198076738682,3979,0,63
Nozomikat,437220,False,76561198076738682,4859,2656,63
Nozomikat,210770,True,76561198076738682,227,0,63
xfluttersx,351640,True,76561198069920369,388,0,64
xfluttersx,105600,True,76561198069920369,2982,0,64
xfluttersx,47870,True,76561198069920369,639,0,64
xfluttersx,383080,True,76561198069920369,203,0,64
76561198056290589,730,True,76561198056290589,55168,1838,65
ii_voltage_ii,253710,False,76561198075905679,15,0,66
ii_voltage_ii,339280,True,76561198075905679,1024,0,66
ii_voltage_ii,271290,True,76561198075905679,455,0,66
ii_voltage_ii,203290,True,76561198075905679,1202,0,66
Hirukaz,550,True,76561198061518530,4397,0,67
StelerForYou,730,True,76561198066728567,172753,2588,68
